twitter_id,user_id,time,unknown_1,unknown_2,source,unknown_3,unknown_4,unknown_5,text,name,screen_name,permalink
470366006842777600,348560387,2014-05-24 20:49:29 -0400,"","","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",0,"","Boston, MA","New post: ""#NotAllWomen: Twitter reacts to California shooting with powerful hashtag - http://t.co/Xz7FoUXCpK (blog)"" http://t.co/JrBVJmxY7B",HashTag Plus,hashtagplus,http://www.twitter.com/hashtagplus/status/470366006842777600
470381442179272704,36406095,2014-05-24 21:50:49 -0400,"","","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>",0,"","Mobile, Alabama","What is #NotAllWomen? Plus, see the video  re: today's suspect in the California murders http://t.co/PX5K8p1cuR",AL.com Mobile,ALcomMobile,http://www.twitter.com/ALcomMobile/status/470381442179272704
470386542226063360,90116111,2014-05-24 22:11:05 -0400,"","",web,0,"","Edwall, WA, USA","#BeTheChange &amp; pity the hateful trolls posting on #YesAllWomen; #NotAllWomen intimidated by men acting as jerks, their problem is not mine.",Sue Lani Madsen,SueLaniMadsen,http://www.twitter.com/SueLaniMadsen/status/470386542226063360
470388345986895873,15729455,2014-05-24 22:18:15 -0400,470382387805683715,336328667,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","New York City, NY",@Al_Gorelioni So what do you think of the #NotAllWomen hashtag?,Will S. Patterson,WillPatterson,http://www.twitter.com/WillPatterson/status/470388345986895873
470406083547516928,74317537,2014-05-24 23:28:44 -0400,"","","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>",0,"",World Wide Web,#NotAllWomen: Twitter reacts to California shooting with powerful hashtag http://t.co/KcHaG7SMJe,Chris - TweetPit.com,TheTweetPit,http://www.twitter.com/TheTweetPit/status/470406083547516928
470407291628683264,1405064772,2014-05-24 23:33:32 -0400,"","",web,0,"",Nova Scotia,"#YesAllWomen because can you imagine if everytime men bitched about the things women do, we got all #NotALLWomen on their asses.",Kandis ,KandisWoods,http://www.twitter.com/KandisWoods/status/470407291628683264
470430955799195648,2353485900,2014-05-25 01:07:34 -0400,"","","<a href=""http://www.5technologies.com"" rel=""nofollow"">brknews_bhm</a>",0,"","Birmingham, AL",#NotAllWomen: Twitter reacts to California shooting with powerful hashtag ..LocalNews BirminghamNews http://t.co/fQiG5hilXm,Birmingham News,brknews_bhm,http://www.twitter.com/brknews_bhm/status/470430955799195648
470457757338841088,95913720,2014-05-25 02:54:04 -0400,"","","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",0,"",Melbourne ,Threw my bedsheets in the bin because I couldn't be bothered washing them. #NotAllWomen,Cait(lyn),CaitTheLawyer,http://www.twitter.com/CaitTheLawyer/status/470457757338841088
470506155303657472,24775992,2014-05-25 06:06:23 -0400,"","","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",0,"",Los Angeles ,"Ex = date-rape, beatings, constant verbal abuse. - says ""crazy psycho bitch"" AKA: ""man-hater who thinks all dudes are rapists"". #NotAllWomen",Manel,manooshi,http://www.twitter.com/manooshi/status/470506155303657472
470511000060301313,79907835,2014-05-25 06:25:38 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Hobart,So many self-entitled psychopaths in the world. We must do better. Listen and learn - #NotAllWomen,Joel Rheinberger,JoelRheinberger,http://www.twitter.com/JoelRheinberger/status/470511000060301313
