twitter_id,user_id,time,unknown_1,unknown_2,source,unknown_3,unknown_4,unknown_5,text,name,screen_name,permalink
470832963198783488,2564785587,2014-05-26 03:45:00 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","",RT @JennMJack: #YesAllWhiteWomen overlook the almost 35% rape rates for Native women. #YEsALLWomen,Jenn RF,AllWomenBook,http://www.twitter.com/AllWomenBook/status/470832963198783488
470953511522689024,76502490,2014-05-26 11:44:01 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"","Queens, NY","RT @NewBlackWoman: *heavy sigh* RT @thewayoftheid: So I'm gonna sit here and watch how #YesAllWomen morphs into #YesALLWhiteWomen because, …",Radio Raheem ,BlkManWalking,http://www.twitter.com/BlkManWalking/status/470953511522689024
470956619489357824,86012492,2014-05-26 11:56:22 -0400,"","","<a href=""http://www.transadvocate.com"" rel=""nofollow"">the Trans Rebel Base</a>",0,"","","RT @thewayoftheid: So I'm gonna sit here and watch how #YesAllWomen morphs into #YesALLWhiteWomen because, America.",Marti Abernathey,Martiabernathey,http://www.twitter.com/Martiabernathey/status/470956619489357824
470959178056740864,104550141,2014-05-26 12:06:32 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"",Kingdom of Elemental Water,"RT @thewayoftheid: So I'm gonna sit here and watch how #YesAllWomen morphs into #YesALLWhiteWomen because, America.",Toya,ScorpGoddess72,http://www.twitter.com/ScorpGoddess72/status/470959178056740864
470962705378320384,2179058990,2014-05-26 12:20:33 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Trapped in Intersections,"RT @thewayoftheid: So I'm gonna sit here and watch how #YesAllWomen morphs into #YesALLWhiteWomen because, America.",NotWorkingOnMyPhD,NotWorkingPhD,http://www.twitter.com/NotWorkingPhD/status/470962705378320384
470991159469146112,180879384,2014-05-26 14:13:37 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"","",#YesAllWomen #YesAllMen #YesAllPeople #YesALLWhiteWomen #YesAllTeenageBoys #yesallgirls #YesAllCats. . ......no,Charlie Diaz ,cheechandchux,http://www.twitter.com/cheechandchux/status/470991159469146112
470992321379442689,73122836,2014-05-26 14:18:14 -0400,"","",web,0,"","","RT @thewayoftheid: So I'm gonna sit here and watch how #YesAllWomen morphs into #YesALLWhiteWomen because, America.",Gretchen,gretchening,http://www.twitter.com/gretchening/status/470992321379442689
470996494678765568,14720959,2014-05-26 14:34:49 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"",NJ Raised DMV Living,So who separated #YesAllWomen to #YesALLWhiteWomen?,Yesha,YeshaCallahan,http://www.twitter.com/YeshaCallahan/status/470996494678765568
470998562491609088,484559046,2014-05-26 14:43:02 -0400,"","",web,0,"","",شاهدوا كليب النجمة العراقية #رحمة_رياض_بوسه►http://t.co/oLxSItNLCE    #rahmariadbosaclip  #YesAllWomen #wycombewanderers #YesALLWhiteWomen,#RahmaRiadBosaClip,AsselFiras,http://www.twitter.com/AsselFiras/status/470998562491609088
471017654925291520,1682121170,2014-05-26 15:58:54 -0400,"","",web,0,"","Redmond, WA","Fellow white women, let's not let this become #YesAllWhiteWomen. RT some women of color! #YesAllWomen",Heather Ure,heatherurehere,http://www.twitter.com/heatherurehere/status/471017654925291520
471017700991332352,24120959,2014-05-26 15:59:05 -0400,"","","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",0,"","Bay Area, CA, USA","RT @heatherurehere: Fellow white women, let's not let this become #YesAllWhiteWomen. RT some women of color! #YesAllWomen",Creatrix Tiara,creatrixtiara,http://www.twitter.com/creatrixtiara/status/471017700991332352
471018229687934977,36565648,2014-05-26 16:01:11 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",Hippie Mountain,"RT @thewayoftheid: So I'm gonna sit here and watch how #YesAllWomen morphs into #YesALLWhiteWomen because, America.",Tayy.,HakunaMatatayy,http://www.twitter.com/HakunaMatatayy/status/471018229687934977
471028023333224448,111710556,2014-05-26 16:40:06 -0400,"","",web,0,"",just moved back  to Germany,"RT @weboesel: here's another Read, &amp; Read Silently If It's Not For You hashtag: #YesAllWhiteWomen. hard &amp; important reading. #YesAllWomen",Elisande,ElisandeWalters,http://www.twitter.com/ElisandeWalters/status/471028023333224448
471028799292067840,284708565,2014-05-26 16:43:11 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","","Instead of complaining about how you're underrepresented, holler out and make yourself known! #YesAllWomen #YesALLWhiteWomen",Charity,belladonnagrrl,http://www.twitter.com/belladonnagrrl/status/471028799292067840
471029135046094848,181843372,2014-05-26 16:44:31 -0400,"","",web,0,"","",RT @PayMyRant: Ignorant men reacting to #YesAllWomen = ignorant women reacting to #YesAllWhiteWomen it's uncomfortable to face your own pri…,Veorin ,Mechiru99,http://www.twitter.com/Mechiru99/status/471029135046094848
471030120489447425,181843372,2014-05-26 16:48:26 -0400,"","",web,0,"","",RT @PayMyRant: Ignorant men reacting to #YesAllWomen = ignorant women reacting to #YesAllWhiteWomen it's uncomfortable to face your own pri…,Veorin ,Mechiru99,http://www.twitter.com/Mechiru99/status/471030120489447425
471039687784529920,746115648,2014-05-26 17:26:27 -0400,"","",web,0,"",Oakland | LA | Chicago,"RT @colocha_rachel: To be clear, #YesALLWhiteWomen doesn't negate my own experiences of violence in case you were confused. #YesAllWomen",Jenn M. Jackson,JennMJack,http://www.twitter.com/JennMJack/status/471039687784529920
471040950043955201,497383464,2014-05-26 17:31:28 -0400,"","",web,0,"","",RT @scATX: For intersection of race and gender in and impact of race on interpersonal violence: #YesAllWhiteWomen,Robyn CD,robyn_cd,http://www.twitter.com/robyn_cd/status/471040950043955201
471041117975502848,497383464,2014-05-26 17:32:08 -0400,"","",web,0,"","",RT @PayMyRant: Ignorant men reacting to #YesAllWomen = ignorant women reacting to #YesAllWhiteWomen it's uncomfortable to face your own pri…,Robyn CD,robyn_cd,http://www.twitter.com/robyn_cd/status/471041117975502848
471041235281793024,31262327,2014-05-26 17:32:36 -0400,"","",web,0,"",Typically Overdressed,"RT @thewayoftheid: So I'm gonna sit here and watch how #YesAllWomen morphs into #YesALLWhiteWomen because, America.",Jen,xoxojenelle,http://www.twitter.com/xoxojenelle/status/471041235281793024
471057253395873795,220038817,2014-05-26 18:36:15 -0400,"","","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",0,"",In my own head,"RT @RM_Mzale: Equality will not be achieved through hate.The evolution of #YesAllWomen, #KillAllMen, #YesAllWhiteWomen, #YesAllMen says nuf…",Nile,NILEstyle_,http://www.twitter.com/NILEstyle_/status/471057253395873795
471059002311581698,2335747614,2014-05-26 18:43:12 -0400,"","",web,0,"",Everywhere,White women are mad at white men for posting in #YesAllWomen &amp; also mad at black women &amp; women of color for creating #YesALLWhiteWomen lol!,Dulce Jesús,TweetThruItMyG,http://www.twitter.com/TweetThruItMyG/status/471059002311581698
471061376388321280,2335747614,2014-05-26 18:52:38 -0400,"","",web,0,"",Everywhere,"B/c reading #YesAllWomen attack #YesALLWhiteWomen reenforces why men of color should leave white women to their racist husbands, sons &amp; men",Dulce Jesús,TweetThruItMyG,http://www.twitter.com/TweetThruItMyG/status/471061376388321280
471063981168525312,2335747614,2014-05-26 19:02:59 -0400,"","",web,0,"",Everywhere,"B/c #whitewomen on #YesAllWomen luv EVERY #MichealJackson song EXCEPT ""MAN IN THE MIRROR"" #SHOCKER #NaNaNaNaNaNaNaNaNaNah #YesALLWhiteWomen",Dulce Jesús,TweetThruItMyG,http://www.twitter.com/TweetThruItMyG/status/471063981168525312
471065532859310081,1619629093,2014-05-26 19:09:09 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","","RT @ErinZwiener: #YesAllWomen #YesAllWhiteWomen Fellow WW, don't act like ""not all men"" when WoC talk about their experiences. We can do be…",KingLarry ,Lindss_tastic,http://www.twitter.com/Lindss_tastic/status/471065532859310081
471066040609550336,2335747614,2014-05-26 19:11:10 -0400,"","",web,0,"",Everywhere,B/c white women on #YesAllWomen still think that they are allowed to mimic their mothers and treat #YesALLWhiteWomen like this is #TheHelp,Dulce Jesús,TweetThruItMyG,http://www.twitter.com/TweetThruItMyG/status/471066040609550336
471070733880135680,450648347,2014-05-26 19:29:49 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"","Lincoln, Nebraska","RT @brigidkeely: If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",Berly Brown,Berly_Brown,http://www.twitter.com/Berly_Brown/status/471070733880135680
471075838289776640,49608873,2014-05-26 19:50:06 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"",Alabama,"RT @ErinZwiener: #YesAllWomen #YesAllWhiteWomen Fellow WW, don't act like ""not all men"" when WoC talk about their experiences. We can do be…",Kim Curry,stargazer_412,http://www.twitter.com/stargazer_412/status/471075838289776640
471076102832926722,809361578,2014-05-26 19:51:09 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","Mesa, Arizona","If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",#liberallogic,liblogic,http://www.twitter.com/liblogic/status/471076102832926722
471076115084492801,24249547,2014-05-26 19:51:12 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","Greenwich, CT; New York, NY ","RT @colocha_rachel: While 80% of reported rapes are against WW, PoC are more likely to be assaulted. #YesAllWomen #YesAllWhiteWomen #WhiteP…",Emily Mann,divineem,http://www.twitter.com/divineem/status/471076115084492801
471076140447039488,49608873,2014-05-26 19:51:18 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"",Alabama,"RT @heatherurehere: Fellow white women, let's not let this become #YesAllWhiteWomen. RT some women of color! #YesAllWomen",Kim Curry,stargazer_412,http://www.twitter.com/stargazer_412/status/471076140447039488
471076987599978496,587250951,2014-05-26 19:54:40 -0400,"","",web,0,"","",RT @SeanBurkett: So some of the women in the #YesAllWomen tag were targeting men. Now women in the #YesALLWhiteWomen tag are targeting #yes…,DP,DickVijay,http://www.twitter.com/DickVijay/status/471076987599978496
471077793124868096,24249547,2014-05-26 19:57:52 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","Greenwich, CT; New York, NY ",thank you thank you thank you #YesAllWomen #YesALLWhiteWomen for validating me and for teaching me so much!!!!,Emily Mann,divineem,http://www.twitter.com/divineem/status/471077793124868096
471078677976207361,49608873,2014-05-26 20:01:23 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"",Alabama,RT @NoisyAstronomer: @JennMJack was beginning to worry that #YesAllWomen wasn't inclusive. Thank you for #YesALLWhiteWomen. This WW listeni…,Kim Curry,stargazer_412,http://www.twitter.com/stargazer_412/status/471078677976207361
471079554404978689,81693559,2014-05-26 20:04:52 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",in a summer dress,"RT @brigidkeely: If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",wrecking ball,kaimcn,http://www.twitter.com/kaimcn/status/471079554404978689
471079609292050432,2382976364,2014-05-26 20:05:05 -0400,"","",web,0,"","Quito, Ecuador",#YesALLWhiteWomen could never reach mainstream awareness the way #YesAllWomen has. Think about it. #whitefeministshighjackthemovement #again,EverywhereAllTheTime,bani_amor,http://www.twitter.com/bani_amor/status/471079609292050432
471079785285033984,746115648,2014-05-26 20:05:47 -0400,"","",web,0,"",Oakland | LA | Chicago,RT @bani_amor: #YesALLWhiteWomen could never reach mainstream awareness the way #YesAllWomen has. Think about it. #whitefeministshighjackth…,Jenn M. Jackson,JennMJack,http://www.twitter.com/JennMJack/status/471079785285033984
471080506743066624,344982393,2014-05-26 20:08:39 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"",ATX,"As important as the #YesAllWomen HT is, #YesALLWhiteWomen and #CisGaze are even more vital to make sure the conversation is inclusive.",Faith Sandberg,faithyerin,http://www.twitter.com/faithyerin/status/471080506743066624
471081169317273602,140636469,2014-05-26 20:11:17 -0400,471080276974518272,52818091,web,0,"",Otisburg (an itty-bitty place),.@AlliedStylesTK They know that wouldn't draw the same attention and ire. It was a calculated move. #YesAllWhiteWomen,Mitzy Gallifrey,GallowsHumor7,http://www.twitter.com/GallowsHumor7/status/471081169317273602
471081870034501632,24249547,2014-05-26 20:14:04 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","Greenwich, CT; New York, NY ",RT @bani_amor: #YesALLWhiteWomen could never reach mainstream awareness the way #YesAllWomen has. Think about it. #whitefeministshighjackth…,Emily Mann,divineem,http://www.twitter.com/divineem/status/471081870034501632
471083681839583233,612159362,2014-05-26 20:21:16 -0400,"","","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",0,"",Maryland / Baltimore / DC,"RT @faithyerin: As important as the #YesAllWomen HT is, #YesALLWhiteWomen and #CisGaze are even more vital to make sure the conversation is…",šīrīn ✺ šəfīʿ,shereenTshafi,http://www.twitter.com/shereenTshafi/status/471083681839583233
471084050871238656,18921165,2014-05-26 20:22:44 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"",NJ,"RT @faithyerin: As important as the #YesAllWomen HT is, #YesALLWhiteWomen and #CisGaze are even more vital to make sure the conversation is…",Remy L.,remyism,http://www.twitter.com/remyism/status/471084050871238656
471084281381416960,2232018697,2014-05-26 20:23:39 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","","RT @faithyerin: As important as the #YesAllWomen HT is, #YesALLWhiteWomen and #CisGaze are even more vital to make sure the conversation is…",Ljudmila Petrovic,ljudpetrovic,http://www.twitter.com/ljudpetrovic/status/471084281381416960
471085707839033344,52818091,2014-05-26 20:29:19 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","","RT @mcquaidbro: @AlliedStylesTK One big diff is that #YesAllWomen is not attacking ALL men, while #YesALLWhiteWomen IS generalizing ALL whi…",tifini kamara,AlliedStylesTK,http://www.twitter.com/AlliedStylesTK/status/471085707839033344
471085762063396864,2271930298,2014-05-26 20:29:32 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","","RT @brigidkeely: If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",Ariana Tutko,arianakaelyn,http://www.twitter.com/arianakaelyn/status/471085762063396864
471086617591947264,1626272270,2014-05-26 20:32:56 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","","RT @brigidkeely: If you're a white feminist, it's time to quietly &amp; thoughtfully read #YesAllWhiteWomen",alison,freethenextgen,http://www.twitter.com/freethenextgen/status/471086617591947264
471087796237918208,8394312,2014-05-26 20:37:37 -0400,"","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,"",GA,"RT @faithyerin: As important as the #YesAllWomen HT is, #YesALLWhiteWomen and #CisGaze are even more vital to make sure the conversation is…",Indigo,Skyliting,http://www.twitter.com/Skyliting/status/471087796237918208
471090132489994240,24488107,2014-05-26 20:46:54 -0400,"","",web,0,"",Vermont,RT @eehouls: ladies participating in #YesAllWomen who have a problem with #YesALLWhiteWomen need some fucking irony lessons.,Callie,cbRasmussen,http://www.twitter.com/cbRasmussen/status/471090132489994240
471091860580995072,49608873,2014-05-26 20:53:46 -0400,"","","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",0,"",Alabama,"RT @lastnora: Same goes for White women &amp; men writing about #YesAllWhiteWomen, ftr. Sit the heck down and let other voices be heard. Magnif…",Kim Curry,stargazer_412,http://www.twitter.com/stargazer_412/status/471091860580995072
471093378990735361,35081110,2014-05-26 20:59:48 -0400,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,"","LA, CA",RT @StephAChamber: If you've been dilligently following #YesAllWomen  Need to look at #YesAllWhiteWomen and get aome more perspective on pr…,Progressive Mews,ProgressiveMews,http://www.twitter.com/ProgressiveMews/status/471093378990735361
471094742185705472,34719022,2014-05-26 21:05:13 -0400,"","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,"","","How is #YesALLWhiteWomen a response to intersectionality? I thought the intent of #YesAllWomen was to unite women, not target our offenders.",Girl Person.,butlikewhatev,http://www.twitter.com/butlikewhatev/status/471094742185705472
471095027322859520,14608502,2014-05-26 21:06:21 -0400,471017860056088577,746115648,web,0,"","",".@JennMJack WOC stats for pay = lower ($0.63? I think?) for rape/assault = much higher %. Now I STFU, but signal boost #YesAllWhiteWomen",sanguinesu,sanguinesu,http://www.twitter.com/sanguinesu/status/471095027322859520
