Screen Name,Number of times they tweeted
Al_Gorelioni,1
SmileyRoffle,1
TheRaDR,1
winnersusedrugs,12
FreakOramaXD,1
MattCoyleDK,1
hey_im_deni,1
DavidInMichigan,1
RegulusdeLeo,2
Zyselr,1
sezgee,2
PoeticDichotomy,2
LittlestSlobo,1
pizza_senpie,4
JosephDeSapio,1
roxxysbox,3
JohnTHFC1993,1
subtleblend,1
KelodyMelody,1
KillzoneVll,1
BAKKOOONN,1
breaktheroles,1
loucaltabiano,1
amandapreece,2
torontobatman,1
groovyswkr,1
sariweather,1
Molly_Kats,1
marclamonthill,1
CNN,1
saramayhew,2
StephenBk,1
cmclymer,1
P_D_Arm,1
sundancerox,2
theleanover,1
jeysiec,3
KT_King23,1
DeepSouthAthy,1
BaileyBlair,1
kentonh,1
StartupWichita,1
SueLaniMadsen,1
molliehollie08,1
64bitwar,1
BridgeoverTrobl,1
JEM824,2
Angelinurpocket,1
entendudeja,1
fangbreaker,1
willstagg,1
Spamfish,1
MZHemingway,1
Caribafricopean,1
StrawberryShell,2
Progsmith,1
sara_schilling,1
jdelwoo,1
MrPunkmouth,1
micahseagull,1
AZlibrarian,1
Taxpayers1234,1
bayareahausfrau,1
NotYourPeas,1
Drizzy_Hendrix_,1
FawkMSN,1
gamble_95,2
ttme123,1
BasedJersh,1
lauramacmurchy,1
steffeG,1
ArleRoxStone,1
IrimeZane,1
SydBrotherhood,1
YouTube,1
chapel3929,1
