Screen Name,Number of times they tweeted
JennMJack,18
NewBlackWoman,1
thewayoftheid,7
heatherurehere,2
weboesel,3
PayMyRant,9
colocha_rachel,3
scATX,1
RM_Mzale,1
ErinZwiener,13
brigidkeely,18
SeanBurkett,1
NoisyAstronomer,1
bani_amor,2
AlliedStylesTK,2
faithyerin,4
mcquaidbro,1
eehouls,1
lastnora,1
StephAChamber,1
chidorme,1
ChiefElk,9
VItoCiliberto,1
BlackGirlDanger,2
Karnythia,6
EntirelyAmelia,9
iamlogan,1
WritingVirginia,2
GeorgetteNicola,1
seductiontheory,1
skippermegan,1
missladyniobe,2
tapati,1
alumiere,2
jestom_,1
middle_ladle,1
FayetteBlu,1
JamesMArcher,1
carakalikimaka,2
windi_sparrow,1
mamasnark,1
AngelaRaeBrooks,1
blogdiva,1
rooneyplanet,1
NoThisIsAshley,1
CatsBaril,3
AndrewKetcham,1
creatrixtiara,1
IngaNandiwillis,3
Feministfists,2
moonhumor,8
ChristianCPope,1
AprilTara,1
OPSEUSisters,3
pmharper,3
Princessanie,3
kchamomile,2
LunaLunaMagazine,2
love_an_artist,2
uberfeminist,1
Scharlach1,1
average_ape,2
lysippe,1
anitamoncrief,2
soundscaper,1
HallieGammon,1
rebeccaheckyea,1
sfpelosi,8
TrinAndTonic,1
zulahni,1
ProgsToday,6
MotherJustice,3
thedcosta77,1
BpopeTV,1
JuveUnited,1
ElizabAdams,1
Sarahndipity44,2
BhasChat,1
DownWithDV,1
CreamdeCrop,2
IcanSeeJay,1
fishyface97,1
FemsHaveBallz,4
Mitsue4Equality,2
Lavinialives,1
peekydeeky,2
heathermeeker,1
AngryMrBungle,2
CarriePotter_,1
runsonmagic,1
ElisandeWalters,1
Siesy,2
xoarv,1
BlackWolves11so,1
ckoever,1
ailsasachdev,1
SarahStrangexx,1
DrMayaAngelou,1
teejjjlunden,1
ptvBruce,1
bo_bessa,3
turpenator,1
LizBR,6
emi_gaus4,2
JudithElsroad,1
ShellOfMel,1
lena_tansey,1
agapekatiexx,2
keriRN,2
MindyPooWho,4
Truth_will_rise,1
kfseattle,1
synnovie,1
111100110,1
evilmasterbetty,1
aurrraaaa,2
QuotePsychology,1
NelsonAJohnson,1
UniteRight,1
SLOBRONE,1
flyjawn,1
SeptembreA,1
_Confessor,1
barrielouise,2
badkitty0007,1
EricJJohnson79,1
FunkyMunkyLuv,1
jakedockter,1
tdapp22,1
ImNotYourMascot,1
Quinnae_Moon,1
sikivuhutch,1
WLP3737,1
Weebeasty,1
momisafeminist,1
tanialives,1
SpeakingUpSarah,2
cbsbaltimore,1
CBSLocalSports,1
mystifiedmusing,1
chealsye,1
ms_selkie,2
FreeNortherner,2
TheBlackAlBundy,1
the_gingerone,1
DavidGlanzer,1
Comic_Con,1
IntelliKosmos,2
llnewsom,1
ThinkPotSeed,1
RyanHeisinger,1
SultraSoV,1
